arm,seed,split_id,candidate_id,reason,validation_score,locked_score_if_computed,why_not_selected
Unconstrained Portfolio Harness Search,0,6,Unconstrained Portfolio Harness Search-0-2,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,3.774014723762572,0.940565894935072,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,0,Unconstrained Portfolio Harness Search-0-2,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,3.2525434013587478,0.6372042483194037,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,5,Unconstrained Portfolio Harness Search-0-2,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,2.930099049082246,0.7942991900447847,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,4,Unconstrained Portfolio Harness Search-0-2,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,2.7384717269214933,1.19942771365238,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,1,Unconstrained Portfolio Harness Search-0-2,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,2.6439490477903007,0.5184181628566008,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,3,Unconstrained Portfolio Harness Search-0-2,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,2.2963268676307678,1.414924438728438,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,2,Unconstrained Portfolio Harness Search-0-2,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,2.0856862551078983,1.0777143442746968,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,0,Unconstrained Portfolio Harness Search-0-9,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.7275282077759577,0.0015615273058397,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,6,Unconstrained Portfolio Harness Search-0-9,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.5714334969589626,0.2097860736347635,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,1,Unconstrained Portfolio Harness Search-0-9,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.4706437717159176,-0.0498822331087511,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,0,Unconstrained Portfolio Harness Search-0-5,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.4425416392983498,-0.035628149352248,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,1,Unconstrained Portfolio Harness Search-0-5,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.3932516767538298,-0.1122431743993361,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,6,Unconstrained Portfolio Harness Search-0-5,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.3805526406452345,0.1186139297934477,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,5,Unconstrained Portfolio Harness Search-0-9,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.3256283819682606,0.1358821463675994,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,4,Unconstrained Portfolio Harness Search-0-9,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.231459518463487,0.2975930916434963,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,2,Unconstrained Portfolio Harness Search-0-9,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.197712451131181,0.2025726522220894,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,6,Unconstrained Portfolio Harness Search-0-4,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.1973494797146109,0.0640819731583578,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,0,Unconstrained Portfolio Harness Search-0-11,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.1944370781743324,-0.1314593757950453,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,0,Unconstrained Portfolio Harness Search-0-8,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED;LOOSE_COST_ACCOUNTING,0.1766700551945788,-0.1318264330804526,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,0,Unconstrained Portfolio Harness Search-0-1,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.1743685356065869,-0.1252654408827295,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,0,Unconstrained Portfolio Harness Search-0-7,POLICY_SPECIFICATION_CHANGED;CLEAN_PANEL_W_STAR_CHANGED,0.1711650177192104,-0.1201294016491236,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,3,Unconstrained Portfolio Harness Search-0-9,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.1676920146472521,0.3868680294932793,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,5,Unconstrained Portfolio Harness Search-0-5,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.1606775067079498,0.0590520364052969,FAILED_HARD_GATE
Unconstrained Portfolio Harness Search,0,6,Unconstrained Portfolio Harness Search-0-10,POLICY_SPECIFICATION_CHANGED;FUTURE_RETURN_LEAKAGE;CLEAN_PANEL_W_STAR_CHANGED,0.1591274850907281,0.060118754111891,FAILED_HARD_GATE
